"Diameter","Centralized_Eigenvaluecentrality","Density","mean_coreness_Hosts","mean_coreness_Symbs","stdev_coreness_Hosts","stdev_coreness_Symbs","mean_similarityjaccard_Hosts","mean_similarityjaccard_Symbs","sd_similarityjaccard_Hosts","sd_similarityjaccard_Sarasites","1","2","3","4","5"
2.58263567685703,0.933420543553032,0.2,6,1.25,0,0.5,0.625,0.625,0.5,0.5,1,3,0,0,0
4,0.882539894122599,0.0508474576271186,8.70588235294118,1,2.1143765594837,0,0.242428304671333,0.242428304671333,0.291547594742265,0.291547594742265,16,15,0,0,0
3.11246003077319,0.857739385166418,0.0523076923076923,2.3,1,1.49443411809733,0,0.172,0.172,0.5,0.5,10,5,0,0,0
2,1.02977213249235,0.0909090909090909,1.33333333333333,1,1.63299316185545,0,0.222222222222222,0.222222222222222,0.52704627669473,0.52704627669473,5,4,0,0,0
4,0.86134989410223,0.0579710144927536,1.77777777777778,1,0.440958551844098,0,0.187477954144621,0.187477954144621,0.489897948556636,0.489897948556636,9,4,0,0,0
2.51282784977513,0.875079904337942,0.166666666666667,6,1,0,0,0.533333333333333,0.533333333333333,0.5,0.5,2,3,0,0,0
2,0.933449926584648,0.0769230769230769,1.42857142857143,1,0.786795792469443,0,0.306122448979592,0.306122448979592,0.52704627669473,0.52704627669473,6,4,0,0,0
1.11789990127947,0.946601727366273,0.2,4,1,0,0,0.533333333333333,0.533333333333333,0.52704627669473,0.52704627669473,2,2,0,0,0
2.3669860996369,0.905758753268222,0.125,5.4,1,3.57770876399966,0,0.309333333333333,0.309333333333333,0.516397779494322,0.516397779494322,5,3,0,0,0
2.07881753592679,0.946013690609118,0.222222222222222,4,1.75,1.4142135623731,1.5,0.625,0.625,0.5,0.5,2,3,0,0,0
2.1743108029031,0.866707432371532,0.107692307692308,9.14285714285714,1,1.57359158493889,0,0.44172335600907,0.44172335600907,0.421569790705376,0.421569790705376,6,6,0,0,0
2.32106410783673,0.893848550427365,0.0980392156862745,3.75,1,0.5,0,0.431547619047619,0.431547619047619,0.454256762579498,0.454256762579498,4,5,0,0,0
1,0.93667504192892,0.238095238095238,4,1,3.46410161513775,0,0.407407407407407,0.407407407407407,0,0,2,2,0,0,0
2,0.595938982179115,0.25,4,1,0,0,0.555555555555556,0.555555555555556,0,0,5,1,0,0,0
2.05726685074664,0.860693720797246,0.125,5,1,2.23606797749979,0,0.346666666666667,0.346666666666667,0.5,0.5,4,3,0,0,0
2.15758573491547,0.869820916111336,0.125541125541126,7.8,1,0.447213595499958,0,0.546666666666667,0.546666666666667,0.421569790705376,0.421569790705376,4,7,0,0,0
2.38286838031656,0.93333672019275,0.222222222222222,8,1.25,0,0.5,0.625,0.625,0.478713553878169,0.478713553878169,1,3,0,0,0
2.0297255423262,0.897349103912816,0.117647058823529,4.11111111111111,1,2.84800124843918,0,0.28042328042328,0.28042328042328,0.5,0.5,9,3,0,0,0
2.63855255811269,0.945446042018228,0.0865800865800866,3.8,1,0.447213595499958,0,0.466666666666667,0.466666666666667,0.421569790705376,0.421569790705376,5,6,0,0,0
1,1.09763107293782,0.142857142857143,2,1,1.4142135623731,0,0.375,0.375,0,0,3,1,0,0,0
3,0.855321737592635,0.0628019323671498,8.5,1.75,1.4142135623731,2.08166599946613,0.395998593930579,0.395998593930579,0.302809303464583,0.302809303464583,7,16,0,0,0
2.43530475760295,0.9232823058392,0.0714285714285714,2.33333333333333,1,0.816496580927726,0,0.433862433862434,0.433862433862434,0.478091443733757,0.478091443733757,5,5,0,0,0
1.56396843679307,1,0.333333333333333,3.5,1,0.707106781186548,0,1,1,0,0,1,2,0,0,0
2,0.924688443204892,0.128205128205128,2.44444444444444,1,1.87823794493077,0,0.254320987654321,0.254320987654321,0,0,8,2,0,0,0
2.5713033564324,0.927413742401818,0.0869565217391304,4.71428571428571,1,2.98408476836063,0,0.320408163265306,0.320408163265306,0.454256762579498,0.454256762579498,6,5,0,0,0
3,0.911670698563741,0.0476190476190476,5,1,3.58358832222088,0,0.154687673437673,0.154687673437673,0.390867979985286,0.390867979985286,19,10,0,0,0
2.79921626751647,0.93333672019275,0.222222222222222,8,1.25,0,0.5,0.625,0.625,0.478713553878169,0.478713553878169,1,3,0,0,0
2.94863792073958,0.816089275739098,0.0942528735632184,8,2.41666666666667,0,2.19330938551907,0.5875,0.5875,0.34325527234239,0.34325527234239,3,11,0,0,0
2.1517670488702,0.920596982744883,0.142857142857143,5,1,1.15470053837925,0,0.441666666666667,0.441666666666667,0.516397779494322,0.516397779494322,3,3,0,0,0
2.91149072187422,0.864849540586228,0.0461038961038961,7,1,2.27303028283098,0,0.243847638226336,0.243847638226336,0.312720510435531,0.312720510435531,13,16,0,0,0
2,0.876580886916706,0.186813186813187,10,1,0,0,0.5,0.5,0.5,0.5,3,3,0,0,0
1.38944361001642,1.06387830372109,0.138888888888889,2,1,1.4142135623731,0,0.375,0.375,0,0,3,1,0,0,0
1.01699228922874,1.01435236740145,0.214285714285714,4,1,0,0,1,1,0.52704627669473,0.52704627669473,1,2,0,0,0
2.99488581419178,0.860390081338574,0.175,7,2,1.73205080756888,1.54919333848297,0.659259259259259,0.659259259259259,0.478091443733757,0.478091443733757,2,6,0,0,0
3.47416125457607,0.926040100448634,0.0465465465465465,3.875,1,1.35620268186054,0,0.301192730880231,0.301192730880231,0.347037635473619,0.347037635473619,7,11,0,0,0
2,0.922426485993422,0.142857142857143,6,1,2.3094010767585,0,0.5375,0.5375,0.458257569495584,0.458257569495584,5,4,0,0,0
2,0.900017158489693,0.125,5,1,0,0,0.572916666666667,0.572916666666667,0.454256762579498,0.454256762579498,4,6,0,0,0
2,0.918765934574677,0.2,6,1,0,0,0.462962962962963,0.462962962962963,0.52704627669473,0.52704627669473,2,2,0,0,0
1,1,0.5,8,1,0,0,0.5,0.5,0,0,1,1,0,0,0
