"Diameter","Centralized_Eigenvaluecentrality","Density","mean_coreness_Hosts","mean_coreness_Symbs","stdev_coreness_Hosts","stdev_coreness_Symbs","mean_similarityjaccard_Hosts","mean_similarityjaccard_Symbs","sd_similarityjaccard_Hosts","sd_similarityjaccard_Sarasites","1","2","3","4","5"
1.14819203062226,0.824109499306576,0.208791208791209,8,1,0,0,0.733333333333333,0.733333333333333,0.489897948556636,0.489897948556636,2,5,0,0,0
1.12897832521556,0.870280427756198,0.244444444444444,8,1,0,0,0.533333333333333,0.533333333333333,0.52704627669473,0.52704627669473,2,2,0,0,0
3,0.911505631219671,0.0605042016806723,4.46153846153846,1,2.40192230707631,0,0.203692888308273,0.203692888308273,0.454256762579498,0.454256762579498,12,5,0,0,0
2,0.907135304794812,0.111111111111111,4,1,3.08220700148449,0,0.252968841857731,0.252968841857731,0.52704627669473,0.52704627669473,8,2,0,0,0
2.69409309200442,0.846411247065814,0.132307692307692,12,1.7,0,2.21359436211787,0.72,0.72,0.368452949177471,0.368452949177471,4,9,0,0,0
2.80187836258524,0.884038064113892,0.0743321718931475,9.9,1,2.60128173535022,0,0.378899378399378,0.378899378399378,0.331873259151532,0.331873259151532,11,11,0,0,0
3.36012569536813,0.871747852864567,0.0482654600301659,6.64705882352941,1,3.60453146176081,0,0.187636642480933,0.187636642480933,0.365336932680184,0.365336932680184,17,10,0,0,0
3.85297012070643,0.904895678709751,0.0905797101449275,6,1.22222222222222,0,0.440958551844098,0.554563492063492,0.554563492063492,0.391995965237767,0.391995965237767,3,8,0,0,0
1,0.92508504286947,0.285714285714286,6.66666666666667,1,2.3094010767585,0,0.555555555555556,0.555555555555556,0.52704627669473,0.52704627669473,3,2,0,0,0
2.01698853097814,0.930954938361231,0.116666666666667,4.2,1,2.04939015319192,0,0.328,0.328,0.516397779494322,0.516397779494322,4,3,0,0,0
1.29427921060317,0.879590825025254,0.380952380952381,6.66666666666667,1,2.3094010767585,0,0.555555555555556,0.555555555555556,0,0,2,1,0,0,0
2,0.895392024332216,0.161904761904762,9.5,1,1,0,0.483333333333333,0.483333333333333,0.489897948556636,0.489897948556636,3,4,0,0,0
1,0.92084380241115,0.333333333333333,6,1,0,0,0.666666666666667,0.666666666666667,0,0,1,1,0,0,0
1,0.92084380241115,0.333333333333333,6,1,0,0,0.666666666666667,0.666666666666667,0,0,1,1,0,0,0
2.64583003635317,0.812103322794134,0.196969696969697,6,2.2,0,1.6431676725155,1,1,0.489897948556636,0.489897948556636,1,4,0,0,0
2,0.910102051443364,0.333333333333333,4,1,0,0,0.5625,0.5625,0,0,3,1,0,0,0
1,0.92084380241115,0.333333333333333,6,1,0,0,0.666666666666667,0.666666666666667,0,0,1,1,0,0,0
2.29752910208721,0.84208136113404,0.100985221674877,9.66666666666667,1,0.816496580927726,0,0.501477072310406,0.501477072310406,0.368452949177471,0.368452949177471,6,9,0,0,0
2,0.87650413672872,0.164835164835165,6,1,0,0,0.614814814814815,0.614814814814815,0.458257569495584,0.458257569495584,2,4,0,0,0
3,0.882501475646225,0.108225108225108,5.77777777777778,1,0.666666666666667,0,0.336842855361374,0.336842855361374,0.421637021355784,0.421637021355784,9,6,0,0,0
