"Diameter","Centralized_Eigenvaluecentrality","Density","mean_coreness_Hosts","mean_coreness_Symbs","stdev_coreness_Hosts","stdev_coreness_Symbs","mean_similarityjaccard_Hosts","mean_similarityjaccard_Symbs","sd_similarityjaccard_Hosts","sd_similarityjaccard_Sarasites","1","2","3","4","5"
4.6380445004357,0.932936308943389,0.0196078431372549,5.26315789473684,1,1.09757840839418,0,0.129846416867763,0.129846416867763,0.207389288716867,0.207389288716867,10,12,9,0,0
5.46733200920111,0.917660462676337,0.0193037974683544,2.6,1,0.99472291830968,0,0.0810257936507937,0.0810257936507937,0.270614713628663,0.270614713628663,12,7,9,0,0
4.83673417737382,0.920697897894057,0.0239316239316239,6.4,1,1.87504385913616,0,0.14127238039738,0.14127238039738,0.245760262643095,0.245760262643095,14,13,5,3,0
2.29792549308408,0.801434094626456,0.111111111111111,3.66666666666667,2,2.3094010767585,1.4142135623731,0.525925925925926,0.525925925925926,0.387148885132399,0.387148885132399,1,3,2,0,0
3.42393413961576,0.890763113707214,0.0861538461538462,7,1.5,1.15470053837925,0.97182531580755,0.498511904761905,0.498511904761905,0.374495545474505,0.374495545474505,2,6,1,0,0
3.17008056699636,0.79380741660138,0.0905797101449275,6.33333333333333,1,1.63299316185545,0,0.35081569664903,0.35081569664903,0.421569790705376,0.421569790705376,4,2,1,0,0
5,0.941176209259592,0.0302480338777979,3.25,1,1,0,0.167533031204906,0.167533031204906,0.325686089005086,0.325686089005086,12,6,3,0,0
5.87541802213521,0.793232563246555,0.0228070175438597,3.94736842105263,1,0.229415733870562,0,0.0999142593325419,0.0999142593325419,0.279230952460557,0.279230952460557,9,4,10,0,0
2.2645193371046,0.971046885255864,0.177777777777778,4,1.5,0,0.577350269189626,0.666666666666667,0.666666666666667,0.479196858952174,0.479196858952174,0,2,1,0,0
8.16282649832165,0.980083548798929,0.0257936507936508,4.17647058823529,1,1.74052054417806,0,0.0912506178942165,0.0912506178942165,0.312720510435531,0.312720510435531,11,5,6,0,0
3.1476322858384,0.857022428118401,0.0822510822510823,4,1,0,0,0.378095238095238,0.378095238095238,0.421569790705376,0.421569790705376,1,3,3,0,0
4,0.897552979579685,0.0331168831168831,4.36363636363636,1,0.80903983495589,0,0.229273848282113,0.229273848282113,0.29030901771284,0.29030901771284,4,8,7,0,0
4.38181983414199,0.905962189162143,0.0158886158886159,3.77777777777778,1,1.21949968724042,0,0.0981672914800487,0.0981672914800487,0.220346801408295,0.220346801408295,20,14,8,0,0
5.29005074988994,0.946510063845858,0.0326678765880218,4.8,1,1.74027912375326,0,0.139757896424563,0.139757896424563,0.314970394174356,0.314970394174356,7,3,8,0,0
4.02567563828006,0.869873461188465,0.0497959183673469,6.33333333333333,1.29411764705882,1,1.21267812518166,0.280028887436295,0.280028887436295,0.301119175865334,0.301119175865334,5,11,3,0,0
1,1,0.238095238095238,6,1,0,0,0.5,0.5,0.52704627669473,0.52704627669473,1,1,0,0,0
0.024706673707386,1,0.111111111111111,2.66666666666667,1,2.3094010767585,0,0.333333333333333,0.333333333333333,0.5,0.5,2,2,1,0,0
4.76208547309488,0.947805522226908,0.0192175703500343,4.71428571428571,1,1.27054543967767,0,0.0930378137861131,0.0930378137861131,0.235758213455152,0.235758213455152,13,11,8,0,0
2.71611342792508,0.802464945655641,0.151515151515152,4,1,0,0,0.555555555555556,0.555555555555556,0.5,0.5,1,0,1,0,0
4.56101567375718,0.950523807265072,0.016109496124031,4.92,1,1.7301252363148,0,0.0857272424857564,0.0857272424857564,0.195681905590184,0.195681905590184,12,15,14,0,0
6.04344203828932,0.94747259543279,0.00871839581517001,3.28571428571429,1,0.708337603321146,0,0.0582252938983789,0.0582252938983789,0.171512944699754,0.171512944699754,27,23,15,0,0
6.46973841942404,0.909176184682466,0.017472335468841,4.45454545454545,1,1.26217019180204,0,0.116940004440004,0.116940004440004,0.224289257825377,0.224289257825377,14,17,7,0,0
5.75415959683853,0.943772634490125,0.0185146223437829,3.8695652173913,1,0.344350221575091,0,0.0884468503561131,0.0884468503561131,0.240826821590864,0.240826821590864,12,10,10,0,0
9.02766049430116,0.882955340986275,0.012952380952381,3.11428571428571,1,1.05081001169206,0,0.0552847424684159,0.0552847424684159,0.229837844084376,0.229837844084376,20,10,14,0,0
