"Diameter","Centralized_Eigenvaluecentrality","Density","mean_coreness_Hosts","mean_coreness_Symbs","stdev_coreness_Hosts","stdev_coreness_Symbs","mean_similarityjaccard_Hosts","mean_similarityjaccard_Symbs","sd_similarityjaccard_Hosts","sd_similarityjaccard_Sarasites","1","2","3","4","5"
4.73100508598423,0.890353798685645,0.0183946488294314,3.73684210526316,1,0.733492805626908,0,0.100785056740735,0.100785056740735,0.235162562745847,0.235162562745847,6,11,13,0,0
10.9415839079894,0.978741155646662,0.00748718770019218,3.21666666666667,1,1.10609508076097,0,0.0316855058521725,0.0316855058521725,0.175188274057737,0.175188274057737,31,20,31,0,0
2.81930977877277,0.92991306673762,0.0688405797101449,3.83333333333333,1,0.408248290463863,0,0.260185185185185,0.260185185185185,0.421569790705376,0.421569790705376,1,1,4,0,0
6.12040943653887,0.969690663002757,0.0103028193525931,3.64864864864865,1,0.856874689925099,0,0.0503849895741788,0.0503849895741788,0.180586300454114,0.180586300454114,12,16,27,0,0
6.77820008047884,0.938003444706879,0.00916230366492147,3.63829787234043,1,0.81894767882176,0,0.0437038993399337,0.0437038993399337,0.178148406509564,0.178148406509564,23,20,24,0,0
6.9786514927204,0.962841901400111,0.00458770021752027,3.59756097560976,1,0.829394485323755,0,0.0258393880806112,0.0258393880806112,0.119406121179344,0.119406121179344,37,42,48,0,0
6.89440851604327,0.948860076697243,0.0198537095088819,4.13636363636364,1,0.639602149066831,0,0.0899645808736718,0.0899645808736718,0.255292829111941,0.255292829111941,10,6,11,0,0
6.51003221902107,0.930830636545862,0.0192175703500343,3.80952380952381,1,1.32736760616822,0,0.08642711533868,0.08642711533868,0.235758213455152,0.235758213455152,10,11,13,1,0
6.13301917760381,0.928559637790628,0.0120473339036213,5.05128205128205,1,1.05003052458683,0,0.0598466408566188,0.0598466408566188,0.183751423080225,0.183751423080225,21,20,18,0,0
3.40145699944686,0.814568290800725,0.0822510822510823,4,1.44444444444444,0,0.52704627669473,0.549382716049383,0.549382716049383,0.368932393686311,0.368932393686311,0,5,2,0,0
5.81863213386928,0.903802664976937,0.0131854959544501,4.42424242424242,1,1.43679989539043,0,0.0641254470455572,0.0641254470455572,0.202325659555628,0.202325659555628,21,16,14,1,0
6.73769186885628,0.958332147345736,0.0215146299483649,4.82352941176471,1,1.84510481130636,0,0.11278070257309,0.11278070257309,0.252013587185756,0.252013587185756,5,10,12,0,0
4.23800802417889,0.52535715790601,0.177777777777778,1,2.5,0,1,1,1,0.381881307912987,0.381881307912987,1,4,2,0,0
7.09880186835751,0.929812306028743,0.00732217573221757,3.7,1,1.06245637996204,0,0.0330775035150035,0.0330775035150035,0.165618007504754,0.165618007504754,30,22,33,0,0
6.90028357905217,0.950126442293154,0.00879120879120879,3.76595744680851,1,0.865090243029387,0,0.0475853355436877,0.0475853355436877,0.173525746824761,0.173525746824761,22,19,27,1,0
5.49597799143374,0.939546499980109,0.0106646353075605,4.31578947368421,1,0.989273912220329,0,0.0610524797383197,0.0610524797383197,0.173525746824761,0.173525746824761,20,23,20,1,0
8.45542912953363,0.971129612681699,0.00511562057574327,3.15584415584416,1,1.00085404405352,0,0.0301657750719063,0.0301657750719063,0.133322460401048,0.133322460401048,36,32,42,0,0
7.8857073161143,0.95447202111641,0.0167878158532364,3.88,1,1.20138808606267,0,0.0821893928293928,0.0821893928293928,0.233452482953295,0.233452482953295,16,10,10,0,0
12,0.985690405554121,0.00246396070060166,3.66470588235294,1,0.960424694318257,0,0.0145968487910308,0.0145968487910308,0.0930009239687346,0.0930009239687346,80,68,93,3,0
5.62717251184728,0.902462421812528,0.0271186440677966,3.57142857142857,1,0.513552591013095,0,0.13170185823247,0.13170185823247,0.300981988882525,0.300981988882525,5,5,8,0,0
4.43123127435304,0.899796994430559,0.0265536723163842,2.84615384615385,1,1.21423184538991,0,0.130506245890861,0.130506245890861,0.272095299771288,0.272095299771288,6,6,9,0,0
7.14084641214217,0.936868450566205,0.00505453578079276,3.4,1,1.16700675315302,0,0.0240763666530001,0.0240763666530001,0.130749344370138,0.130749344370138,44,43,50,0,0
5.69886996179064,0.965762574633511,0.00914572864321608,3.74358974358974,1,0.715171996903679,0,0.0987179202563818,0.0987179202563818,0.160740418877606,0.160740418877606,17,27,26,0,0
6,0.919147217684298,0.0304789550072569,3.38461538461538,1,1.04390784542678,0,0.15069033530572,0.15069033530572,0.314970394174356,0.314970394174356,6,7,7,0,0
9.88941315364029,0.978633201953014,0.00538793103448276,3.6025641025641,1,1.37074956828532,0,0.0282398946476856,0.0282398946476856,0.133484901196469,0.133484901196469,35,32,45,0,0
5,0.980318301498032,0.00824749962680997,4.83673469387755,1,1.21358523213092,0,0.046759628097061,0.046759628097061,0.153752681017749,0.153752681017749,18,24,30,0,0
4.03446193059734,0.897906318429876,0.0164579606440072,5.41666666666667,1,1.0179547554081,0,0.102188940439553,0.102188940439553,0.197920591870109,0.197920591870109,10,20,13,0,0
4,0.99776432926356,0.0405405405405405,2.45454545454545,1,1.03572548135463,0,0.125068870523416,0.125068870523416,0.369350447524326,0.369350447524326,5,3,6,0,0
5.25554708961065,0.953233419578207,0.0143415906127771,3.56,1,0.711805216802087,0,0.0846935642135642,0.0846935642135642,0.210717252982004,0.210717252982004,11,10,15,0,0
