"Diameter","Centralized_Eigenvaluecentrality","Density","mean_coreness_Hosts","mean_coreness_Symbs","stdev_coreness_Hosts","stdev_coreness_Symbs","mean_similarityjaccard_Hosts","mean_similarityjaccard_Symbs","sd_similarityjaccard_Hosts","sd_similarityjaccard_Sarasites","1","2","3","4","5"
6,0.916125602639473,0.02,4.61538461538461,1,1.57675421234695,0,0.116418291120258,0.116418291120258,0.252013587185756,0.252013587185756,19,13,6,0,0
4.18204664501283,0.871920211897171,0.040650406504065,3.8,1,0.421637021355784,0,0.185880952380952,0.185880952380952,0.347037635473619,0.347037635473619,6,3,3,0,0
4.70992412774394,0.919951255232266,0.0197908887229276,5.26923076923077,1,2.49090653871545,0,0.136296316696068,0.136296316696068,0.239894678065677,0.239894678065677,21,16,5,3,0
7.42331394883468,0.928727968953969,0.0110248447204969,3.72222222222222,1,0.454256762579498,0,0.0583324988928202,0.0583324988928202,0.18612677923526,0.18612677923526,25,30,10,0,0
4,0.899692976777008,0.0405310971348707,6.14285714285714,1,1.99449792630175,0,0.248693030325683,0.248693030325683,0.340068020406802,0.340068020406802,12,6,1,1,0
4.30157532948454,0.940506497211433,0.0288461538461538,4.76923076923077,1,1.01273936708367,0,0.174639988545314,0.174639988545314,0.277552990886332,0.277552990886332,6,6,6,0,0
4.93405585662372,0.914365708898653,0.00806425702811245,5.24528301886792,1,1.09026567646745,0,0.0499175843328849,0.0499175843328849,0.145321363950709,0.145321363950709,38,34,14,1,0
2.2675272544047,0.862185082638305,0.175,7,1,4,0,0.429166666666667,0.429166666666667,0.489897948556636,0.489897948556636,4,4,0,0,0
3.62595312968967,0.923867311559218,0.0625,4.33333333333333,1,2.12132034355964,0,0.241622574955908,0.241622574955908,0.393397896234722,0.393397896234722,9,6,1,0,0
5.38319089158269,0.935556199184162,0.0285714285714286,2.26666666666667,1,0.703731550548997,0,0.104740740740741,0.104740740740741,0.347037635473619,0.347037635473619,9,3,5,0,0
1.10418927476245,1.01352656558613,0.127272727272727,3.33333333333333,1,1.15470053837925,0,0.444444444444444,0.444444444444444,0.5,0.5,1,1,1,0,0
4.73206759947125,0.95250262016364,0.013899816417519,3.73076923076923,1,0.452344320861205,0,0.0883630804358267,0.0883630804358267,0.206406807542259,0.206406807542259,17,18,9,0,0
3.16230270774429,0.914718929890667,0.0312989045383412,6.15384615384615,1,1.67561699313784,0,0.206070395358596,0.206070395358596,0.248449296920109,0.248449296920109,10,12,2,0,0
4.63926124275145,0.910810618717551,0.016240157480315,5.10344827586207,1,1.11306615084533,0,0.104085192431754,0.104085192431754,0.210207145899097,0.210207145899097,22,18,6,2,0
4,0.885709699803883,0.0262865605331359,5.23076923076923,1,1.09192842819834,0,0.187855783269984,0.187855783269984,0.247779885775403,0.247779885775403,8,12,4,0,0
6,0.897054273429597,0.0346907993966818,3.71428571428571,1,0.726273039202563,0,0.167292826221398,0.167292826221398,0.343908058771727,0.343908058771727,11,4,2,0,0
5.25857379744119,0.948473076665219,0.0134851663170512,4.40625,1,1.04292934223907,0,0.120518831678868,0.120518831678868,0.198930064926615,0.198930064926615,20,18,11,0,0
4.66811529512474,0.90780776947105,0.0197897340754484,4.7,1,0.801314709186032,0,0.110901431901432,0.110901431901432,0.220088904560202,0.220088904560202,8,10,11,0,0
4.49145548285628,0.8720434697928,0.0296796943873053,7.57894736842105,1,0.837707816583391,0,0.179326461292406,0.179326461292406,0.242271855926174,0.242271855926174,14,12,4,0,0
