"Diameter","Centralized_Eigenvaluecentrality","Density","mean_coreness_Hosts","mean_coreness_Symbs","stdev_coreness_Hosts","stdev_coreness_Symbs","mean_similarityjaccard_Hosts","mean_similarityjaccard_Symbs","sd_similarityjaccard_Hosts","sd_similarityjaccard_Sarasites","1","2","3","4","5"
3.6781564551112,0.912324073859356,0.0123095503530286,7.5,1,2.73627109168289,0,0.105355570852731,0.105355570852731,0.154240098770891,0.154240098770891,39,40,0,10,0
2.5666686728254,0.907117882680895,0.0653846153846154,7.22222222222222,1,1.71593835683117,0,0.316524079487042,0.316524079487042,0.361028918982788,0.361028918982788,8,8,0,0,0
4.08418375466898,0.955953406360099,0.00632684072385689,6.10769230769231,1,2.1000228936481,0,0.0791854622424628,0.0791854622424628,0.114687194343503,0.114687194343503,64,69,0,16,0
4.15446547103932,0.968775344004758,0.00536986678599704,5.54430379746835,1,2.37399084284427,0,0.104907363826935,0.104907363826935,0.111739802881856,0.111739802881856,78,66,0,24,0
3.64926821360195,0.865763877166107,0.0232383808095952,8,1,1.70293863659264,0,0.154974756439652,0.154974756439652,0.202783728556371,0.202783728556371,20,22,0,4,0
5.04944032273965,0.946768919016018,0.0178410794602699,5.92592592592593,1,2.25193807002437,0,0.120138561466327,0.120138561466327,0.203407738400914,0.203407738400914,26,16,0,1,0
4.81961997962628,0.921499061404239,0.035218253968254,6.9,1.17391304347826,1.10050493461461,0.38755338788159,0.233438672438672,0.233438672438672,0.251170381036649,0.251170381036649,9,11,0,0,0
3.59046705777608,0.933111683681813,0.024040404040404,7.04545454545455,1,1.58796883522474,0,0.144918628430961,0.144918628430961,0.229837844084376,0.229837844084376,21,13,0,3,0
5.13248931131303,0.919915954760641,0.0080018448057189,6.4,1,1.83541548429777,0,0.0559971460166541,0.0559971460166541,0.140436845154277,0.140436845154277,64,45,0,14,0
2,0.98237476134731,0.115384615384615,3.33333333333333,1,0.577350269189626,0,0.666666666666667,0.666666666666667,0.458257569495584,0.458257569495584,2,2,0,0,0
4.03225021774532,0.916957572090062,0.00841423948220065,7.94642857142857,1,1.82328018948012,0,0.06696899578804,0.06696899578804,0.127773520759431,0.127773520759431,55,56,0,19,0
3.10333916236435,0.865891954423539,0.072463768115942,10,1.70588235294118,0,1.6494205756247,0.489885008282367,0.489885008282367,0.294924637275366,0.294924637275366,6,12,0,1,0
4,0.926642756863366,0.0171583850931677,8.48275862068965,1,1.37894083720525,0,0.132625650616576,0.132625650616576,0.169366514736727,0.169366514736727,28,33,0,7,0
4.64828487362364,0.92626607048475,0.0178052325581395,6.57894736842105,1.34042553191489,2.24390011348506,1.0688595251722,0.164095030470898,0.164095030470898,0.186190126388977,0.186190126388977,18,26,0,5,0
4.55074654186312,0.928979505987418,0.00854954287126266,6.76595744680851,1.08247422680412,1.83223273105754,0.533660767185475,0.0738191595992247,0.0738191595992247,0.128540781496152,0.128540781496152,46,42,0,8,0
3.22369056602775,0.872206302476887,0.0714285714285714,7.4,1.92857142857143,0.547722557505166,1.59152977759357,0.417414141414141,0.417414141414141,0.332280388242003,0.332280388242003,4,6,0,0,0
3.11341700141399,0.91218682788829,0.0191929133858268,7.04545454545455,1,1.55769282158163,0,0.147546288883963,0.147546288883963,0.197327675704928,0.197327675704928,21,23,0,10,0
