"Diameter","Centralized_Eigenvaluecentrality","Density","mean_coreness_Hosts","mean_coreness_Symbs","stdev_coreness_Hosts","stdev_coreness_Symbs","mean_similarityjaccard_Hosts","mean_similarityjaccard_Symbs","sd_similarityjaccard_Hosts","sd_similarityjaccard_Sarasites","1","2","3","4","5"
4.59742068430437,0.962970694026326,0.00698846091337559,5.11111111111111,1,1.1102722200054,0,0.0553745817886334,0.0553745817886334,0.131701593979746,0.131701593979746,34,38,19,2,0
6.37056309672588,0.934872009297259,0.0112423240434577,3.5,1,0.509175077217316,0,0.0700530726359808,0.0700530726359808,0.183751423080225,0.183751423080225,14,16,13,0,0
3.26566201119661,0.821261172547311,0.0623885918003565,5.71428571428571,1,0.755928946018454,0,0.295707806932297,0.295707806932297,0.365336932680184,0.365336932680184,3,3,3,0,0
5,0.938339659662323,0.0108550752237669,4.86666666666667,1.03333333333333,0.507416263404925,0.181020334719393,0.0803772266252872,0.0803772266252872,0.162752974672411,0.162752974672411,16,22,13,2,0
5,0.980193141031626,0.00490018877776439,4.33333333333333,1,0.816496580927726,0,0.0433710938486107,0.0433710938486107,0.11371324075356,0.11371324075356,41,57,27,3,0
4.13202587028822,0.939445543657927,0.024606971975393,4.2,1,0.414039335605413,0,0.136084532751199,0.136084532751199,0.242074368738204,0.242074368738204,8,5,6,0,0
4.55711470308644,0.945819600935304,0.0299435028248588,4.6,1.19047619047619,0.843274042711568,0.679635756787974,0.178755411255411,0.178755411255411,0.277552990886332,0.277552990886332,4,6,5,0,0
4.96253878288662,0.915140182801133,0.00975073573733291,7.02564102564103,1.06172839506173,1.6620719391483,0.242161052418926,0.07424239933866,0.07424239933866,0.141395986673333,0.141395986673333,25,29,13,2,0
6,0.939393111062744,0.00578750045499217,4.44444444444444,1,1.19728435547117,0,0.0420535454336216,0.0420535454336216,0.130749344370138,0.130749344370138,50,40,21,0,0
5.02343183507761,0.94361642284863,0.00856389986824769,6.51020408163265,1,1.70931819959977,0,0.0633925327938343,0.0633925327938343,0.133940166500346,0.133940166500346,35,38,13,8,0
4.33023912960006,0.935587604663223,0.0136690647482014,4.16666666666667,1,0.761386987626881,0,0.108906301601735,0.108906301601735,0.185740219695439,0.185740219695439,14,20,9,1,0
4.42768760239232,0.913453376196469,0.0206185567010309,5,1.38888888888889,0,0.87105118031615,0.143801707285785,0.143801707285785,0.213501907593416,0.213501907593416,5,10,8,0,0
4.41827560121346,0.953723443136387,0.0136660724896019,5.27586206896552,1,1.22172453418863,0,0.0999572394539446,0.0999572394539446,0.178419760664055,0.178419760664055,20,20,8,0,0
5,0.960754119774154,0.004033411786423,4.30434782608696,1,1.11669774590509,0,0.0387316712682642,0.0387316712682642,0.10889507326351,0.10889507326351,58,57,33,3,0
4.93531643633836,0.9212267619586,0.0325805257312107,6.55555555555556,1,1.88561808316413,0,0.19323633177119,0.19323633177119,0.279230952460557,0.279230952460557,15,9,3,4,0
